code	species_name	common_name
ABROB	Abrodictyum obscurum	
ACOCA	Acorus calamus	
ACTCH	Actinidia chinensis	
ACTDI	Actinostachys digitata	
ADILA	Adiantum latifolium	
AEGTA	Aegilops tauschii	
ALSLA	Alsophila latebrosa	
AMBOP	Amblovenatum opulentum	
AMBTR	Amborella trichopoda	
ANACO	Ananas comosus	
ANGEV	Angiopteris evecta	
ANTAG	Anthoceros agrestis	
ARAAL	Arabis alpina	
ARAHA	Arabidopsis halleri	
ARALY	Arabidopsis lyrata	
ARATH	Arabidopsis thaliana	
ASPOF	Asparagus officinalis	
BETVU	Beta vulgaris	
BRADI	Brachypodium distachyon	
BRAJU	Brassica juncea	
BRANA	Brassica napus	
BRAOL	Brassica oleracea	
BRARA	Brassica rapa	
BUXMI	Buxus microphylla var. japonica	
BUXSI	Buxus sinica	
CAJCA	Cajanus cajan	
CAMSA	Camelina sativa	
CAPAN	Capsicum annuum	
CAPRU	Capsella rubella	
CARPA	Carica papaya	
CELOR	Celastrus orbiculatus	
CENAM	Cenchrus americanus	
CERPU	Ceratodon purpureus	
CHABR	Chara braunii	
CHEQU	Chenopodium quinoa	
CHLRE	Chlamydomonas reinhardtii	
CHLSO	Chlorella sorokiniana	
CHOCR	Chondrus crispus	
CIBBA	Cibotium barometz	
CICAR	Cicer arietinum	
CITCL	Citrus clementina	
CITLA	Citrullus lanatus	
CITMA	Citrus maxima	
CITSI	Citrus sinensis	
COFCA	Coffea canephora	
CORCA	Corchorus capsularis	
COROL	Corchorus olitorius	
CUCME	Cucumis melo	
CUCSA	Cucumis sativus	
CYAME	Cyanidioschyzon merolae	
CYAPA	Cyanophora paradoxa	
CYCBI	Cyclanthus bipartitus	
CYCED	Cycas edentata	
CYRRE	Cyrtostachys renda	
DAUCA	Daucus carota	
DAVDE	Davallia denticulata	
DICCU	Dicranopteris curranii	
DIOVI	Dioscorea villosa	
DIPPR	Diplazium proliferum	
ELAGU	Elaeis guineensis	
EPIPI	Epipremnum pinnatum	
EQUHY	Equisetum hyemale	
ERATE	Eragrostis tef	
ERYGU	Erythranthe guttata	
EUCGR	Eucalyptus grandis	
FRAEX	Fraxinus excelsior	
FRAVE	Fragaria vesca	
GALSU	Galdieria sulphuraria	
GINBI	Ginkgo biloba	
GLOSU	Gloriosa superba	
GLYMA	Glycine max	
GNEGN	Gnetum gnemon	
GOSAR	Gossypium arboreum	
GOSBA	Gossypium barbadense	
GOSHI	Gossypium hirsutum	
GOSRA	Gossypium raimondii	
GUAOF	Guaiacum officinale	
HACVI	Hackelia virginiana	
HALUN	Halodule uninervis	
HELAN	Helianthus annuus	
HEVBR	Hevea brasiliensis	
HORVU	Hordeum vulgare	
HYDVE	Hydrocotyle verticillata	
ILEVE	Ilex verticillata	
JATCU	Jatropha curcas	
KLENI	Klebsormidium nitens	
LACSA	Lactuca sativa	
LINBE	Lindera benzoin	
LINEN	Lindsaea ensifolia	
LYGFL	Lygodium flexuosum	
MALDO	Malus domestica	
MANES	Manihot esculenta	
MARPO	Marchantia polymorpha	
MEDTR	Medicago truncatula	
MESVI	Mesostigma viride	
MICCO	Micromonas commoda	
MICSP	Microlepia speluncae	
MUSAC	Musa acuminata	
NELNU	Nelumbo nucifera	
NEPBI	Nephrolepis biserrata	
NICAT	Nicotiana attenuata	
NICBE	Nicotiana benthamiana	
NICTA	Nicotiana tabacum	
NUPAD	Nuphar advena	
OLEEU	Olea europaea	
OPHRE	Ophioglossum reticulatum	
ORYRU	Oryza rufipogon	
ORYSA	Oryza sativa	
PALCE	Palhinhaea cernua	
PANHA	Panicum hallii	
PHAVU	Phaseolus vulgaris	
PHLPH	Phlegmariurus phlegmaria	
PHYBR	Phytocrene bracteata	
PHYED	Phyllostachys edulis	
PHYPA	Physcomitrella patens	
PICAB	Picea abies	
PIPSA	Piper sarmentosum	
PISSA	Pisum sativum	
PLEIR	Pleocnemia irregularis	
PLEVA	Plenasium vachellii	
PODNE	Podocarpus neriifolius	
POLXX	Pollia sp.	
POPTR	Populus trichocarpa	
PORPU	Porphyridium purpureum	
PRUAV	Prunus avium	
PRUPE	Prunus persica	
PSEME	Pseudotsuga menziesii	
PSINU	Psilotum nudum	
PYRPI	Pyrrosia piloselloides	
PYRYE	Pyropia yezoensis	
RAPSA	Raphanus sativus	
RAPSU	Raphidocelis subcapitata	
RICCO	Ricinus communis	
ROSCH	Rosa chinensis	
SACSP	Saccharum spontaneum	
SALMO	Salvinia molesta	
SELER	Selaginella erythropus	
SELMO	Selaginella moellendorffii	
SELWI	Selaginella willdenowii	
SESIN	Sesanum indicum	
SETIT	Setaria italica	
SETVI	Setaria viridis	
SMIHI	Smilax hispida	
SOLLY	Solanum lycopersicum	
SOLME	Solanum melongena	
SOLPE	Solanum pennellii	
SOLPI	Solanum pimpinellifolium	
SOLTU	Solanum tuberosum	
SORBI	Sorghum bicolor	
SPIOL	Spinacia oleracea	
STEMA	Stemonurus malaccensis	
STEPA	Stenochlaena palustris	
SYNXX	Syngonium sp.	
TABDI	Tabernaemontana divaricata	
TARHA	Tarenaya hassleriana	
TAXCA	Taxus canadensis	
TECIN	Tectaria incisa	
THECA	Theobroma cacao	
TRIAE	Triticum aestivum	
TRIDI	Triticum dicoccoides	
TRIPR	Trifolium pratense	
TRITU	Triticum turgidum	
TRIUR	Triticum urartu	
ULVMU	Ulva mutabilis	
VIGAN	Vigna angularis	
VIGRA	Vigna radiata	
VITVI	Vitis vinifera	
ZEAMA	Zea mays	
ZIZJU	Ziziphus jujuba	
ZOSMA	Zostera marina	
ZYGCI	Zygnema circumcarinatum	
